,Clusters
270,1
271,1
272,0
273,0
274,2
275,1
276,4
277,0
278,0
279,0
280,4
281,0
282,2
283,1
284,4
285,1
286,1
287,4
288,4
289,1
290,1
291,4
292,0
293,1
294,0
295,0
296,4
297,3
298,4
299,1
300,1
301,0
302,0
303,0
304,0
305,4
306,2
307,4
308,1
309,4
310,0
311,4
312,2
313,4
314,1
315,3
316,4
317,1
318,4
319,4
320,1
321,0
322,0
323,4
324,4
325,0
326,4
327,0
328,1
329,1
330,4
331,4
332,0
333,0
334,4
335,3
336,4
337,4
338,4
339,4
340,4
341,1
342,4
343,4
344,4
345,0
346,1
347,4
348,4
349,4
350,0
351,4
352,2
353,4
354,4
355,4
356,4
357,0
358,4
359,4
360,1
361,0
362,4
363,0
364,4
365,1
366,4
367,1
368,0
369,1
370,2
371,0
372,0
373,2
374,4
375,1
376,1
377,1
378,0
379,0
380,0
381,4
382,0
383,0
384,4
385,4
386,1
387,4
388,0
389,0
390,4
391,0
392,4
393,1
394,1
395,1
396,0
397,4
398,4
399,4
400,4
401,2
402,4
403,0
404,4
405,0
406,4
407,4
408,1
409,1
410,1
411,0
412,1
413,1
414,4
415,4
416,0
417,4
418,0
419,4
420,4
421,4
422,4
423,4
424,4
425,4
426,4
427,4
428,0
429,4
430,4
431,2
432,4
433,4
434,0
435,1
436,2
437,4
438,0
439,1
440,1
441,4
442,1
443,0
444,1
445,1
446,0
447,4
448,4
449,4
450,1
451,0
452,4
453,4
454,0
455,0
456,0
457,4
458,4
459,1
460,1
461,4
462,4
463,1
464,4
465,4
466,2
467,4
468,4
469,4
470,2
471,0
472,1
473,4
474,0
475,4
476,4
477,4
478,4
479,0
480,4
481,0
482,4
483,1
484,0
485,4
486,4
487,1
488,4
489,0
490,1
491,2
492,4
493,0
494,0
495,1
496,0
497,1
498,4
499,0
500,2
501,1
502,4
503,4
504,3
505,4
506,4
507,4
508,1
509,0
510,4
511,4
512,0
513,4
514,4
515,4
516,1
517,1
518,4
519,4
520,4
521,4
522,2
523,4
524,4
525,1
526,1
527,0
528,4
529,4
530,1
531,4
532,0
533,1
534,0
535,0
536,4
537,0
538,0
539,1
540,1
541,1
542,2
543,4
544,1
545,0
546,4
547,0
548,4
549,4
550,4
551,4
552,2
553,1
554,4
555,1
556,1
557,0
558,4
559,0
560,1
561,4
562,0
563,0
564,0
565,4
566,0
567,1
568,0
569,1
570,1
571,0
572,2
573,2
574,0
575,4
576,0
577,4
578,1
579,4
580,0
581,1
582,4
583,4
584,2
585,0
586,2
587,0
588,0
589,0
590,1
591,4
592,1
593,4
594,0
595,4
596,4
597,4
598,4
599,3
600,4
601,4
602,4
603,4
604,0
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,1
614,4
615,0
616,4
617,0
618,2
619,4
620,4
621,1
622,1
623,2
624,1
625,1
626,1
627,1
628,4
629,0
630,0
631,4
632,0
633,3
634,0
635,0
636,1
637,4
638,3
639,4
640,1
641,1
642,1
643,1
644,0
645,0
646,4
647,4
648,2
649,4
650,1
651,1
652,4
653,0
654,4
655,0
656,1
657,0
658,2
659,1
660,4
661,1
662,1
663,0
664,1
665,1
666,4
667,4
668,0
669,4
670,0
671,0
672,1
673,0
674,4
675,1
676,1
677,1
678,4
679,4
680,0
681,0
682,1
683,2
684,4
685,1
686,4
687,1
688,1
689,4
690,0
691,0
692,0
693,3
694,4
695,4
696,1
697,0
698,0
699,4
700,4
701,4
702,1
703,0
704,4
705,1
706,4
707,1
708,4
709,4
710,0
711,4
712,4
713,4
714,1
715,1
716,1
717,1
718,1
719,2
720,0
721,2
722,0
723,2
724,4
725,0
726,4
727,4
728,0
729,4
730,4
731,1
732,4
733,4
734,2
735,1
736,0
737,4
738,2
739,1
740,1
741,1
742,1
743,2
744,4
745,0
746,0
747,4
748,0
749,4
750,1
751,4
752,1
753,2
754,4
755,2
756,4
757,2
758,2
759,1
760,1
761,1
762,1
763,4
764,4
765,2
766,4
767,4
768,3
769,4
770,4
771,4
772,4
773,0
774,1
775,0
776,4
777,4
778,4
779,1
780,2
781,1
782,4
783,1
784,4
785,1
786,4
787,1
788,4
789,0
790,4
791,0
792,2
793,1
794,1
795,1
796,1
797,2
798,4
799,4
800,4
801,0
802,2
803,0
804,2
805,1
806,4
807,1
808,1
809,1
810,1
811,1
812,2
813,4
814,2
815,0
816,4
817,2
818,4
819,1
820,1
821,1
822,2
823,4
824,2
825,2
826,4
827,2
828,4
829,0
830,4
831,4
832,4
833,4
834,1
835,4
836,4
837,4
838,2
839,0
840,0
841,0
842,2
843,4
844,0
845,1
846,1
847,4
848,4
849,4
850,1
851,4
852,0
853,4
854,0
855,0
856,4
857,4
858,4
859,0
860,1
861,1
862,0
863,4
864,0
865,4
866,0
867,2
868,4
869,4
870,1
871,1
872,4
873,0
874,0
875,4
876,4
877,2
878,1
879,1
880,1
881,1
882,4
883,0
884,4
885,0
886,0
887,0
888,4
889,0
890,1
891,0
892,1
893,0
894,1
895,4
896,4
897,0
898,4
899,1
900,4
901,4
902,4
903,1
904,1
905,2
906,4
907,0
908,0
909,0
910,0
911,0
912,1
913,1
914,1
915,4
916,0
917,4
918,4
919,4
920,0
921,4
922,4
923,1
924,0
925,0
926,1
927,1
928,1
929,0
930,1
931,0
932,4
933,2
934,4
935,4
936,0
937,0
938,1
939,3
940,1
941,4
942,4
943,4
944,0
945,1
946,4
947,0
948,2
949,4
950,1
951,1
952,1
953,0
954,4
955,1
956,1
957,1
958,4
959,0
960,1
961,4
962,4
963,2
964,4
965,0
966,1
967,1
968,0
969,0
970,0
971,4
972,1
973,2
974,4
975,4
976,0
977,4
978,2
979,4
980,4
981,1
982,0
983,4
984,1
985,4
986,1
987,4
988,4
989,0
990,4
991,0
992,0
993,4
994,1
995,4
996,4
997,2
998,0
999,1
